region,federal_district,body_name,body_type,address,phone,email,website,source_url,notes
Республика Алтай,Сибирский,"Комитет по гражданской обороне, чрезвычайным ситуациям и пожарной безопасности Республики Алтай",committee,"649100, Республика Алтай, Майминский р-н, тер. Долина Алтая, зд. 1",+7 (38822) 4-84-24,komitet-gochs@altaigov.ru,https://gochsra.ru,https://gochsra.ru/grafik-lichnogo-priema/,Профильный региональный орган. Телефон приёмной доб. 3.
Республика Тыва,Сибирский,Служба по гражданской обороне и чрезвычайным ситуациям Республики Тыва,other,"667011, Республика Тыва, г. Кызыл, ул. Калинина, д. 1 «б» (каб. 417)",+7 (39422) 6-03-00,sgo@rtyva.ru,https://sgochs.rtyva.ru,https://sgochs.rtyva.ru/node/37/,Региональный орган в форме «Служба». Не путать с ГУ МЧС по Республике Тыва.
Республика Хакасия,Сибирский,"Государственный комитет по гражданской обороне, чрезвычайным ситуациям и пожарной безопасности Республики Хакасия",committee,"655017, Республика Хакасия, г. Абакан, пр-кт Ленина, д. 67",+7 (3902) 229-91-16,,,https://companium.ru/id/1021900536118,Профильный региональный комитет. Отдельного сайта нет (сведения на r-19.ru). Email в открытых источниках замаскирован.
Алтайский край,Сибирский,"ККУ «Управление Алтайского края по делам гражданской обороны, чрезвычайным ситуациям и пожарной безопасности»",gku,"656006, Алтайский край, г. Барнаул, ул. Взлётная, д. 2ж","+7 (3852) 20-60-28, +7 (3852) 20-60-50; опер. дежурный (3852) 38-01-12",ugochs22@yandex.ru,https://ugochs22.ru,http://umc22.asu.ru/mod/page/view.php?id=49,Профильное краевое казённое учреждение. Email/телефоны частично из агрегаторов; индекс в части источников 656023.
Красноярский край,Сибирский,"Агентство по гражданской обороне, чрезвычайным ситуациям и пожарной безопасности Красноярского края",other,"660011, г. Красноярск, ул. Лесная, зд. 2а/18",+7 (391) 227-11-21,aefizova@krskgo.ru,https://krskstate.ru/ag_goichs,https://www.krskstate.ru/ag_goichs,"Политический орган — краевое Агентство. Подведомственное — КГКУ «Центр обеспечения реализации полномочий в областях ГО, ЧС» (gochs24.ru, (391) 2908-305). Email агентства — из агрегаторов."
Иркутская область,Сибирский,ОГКУ «Центр по гражданской обороне и защите населения и территорий от чрезвычайных ситуаций»,gku,"664011, Иркутская область, г. Иркутск, ул. Ударника, д. 4/литера А",+7 (3952) 224-04-40; +7 (3952) 20-14-86,,http://irkobl.ru/sites/gochs/,https://www.94fz.ru/org/44fz/03342000196,Отдельного регионального министерства/комитета ГОЧС нет; учредитель ОГКУ — Министерство имущественных отношений области. Email не подтверждён (упоминается gochs.irk.ru).
Кемеровская область — Кузбасс,Сибирский,Департамент по чрезвычайным ситуациям Кузбасса,department,"650064, г. Кемерово, Советский проспект, д. 60Б",+7 (3842) 58-39-03,,https://xn--42-jlc8bk9a.xn--p1ai,https://xn--42-jlc8bk9a.xn--p1ai/departament/rekvizity.php,"Профильный региональный орган, сайт «42чс.рф». Общий email на странице реквизитов не опубликован."
Новосибирская область,Сибирский,"ГКУ Новосибирской области «Центр по обеспечению мероприятий в области ГО, ЧС и ПБ Новосибирской области»",gku,"630007, г. Новосибирск, ул. Советская, д. 4а",+7 (383) 231-11-80,gochs@nso.ru,https://gochs.nso.ru,https://gochs.nso.ru/page/6313,"Профильное операционное ГКУ, подведомственное Министерству ЖКХ и энергетики области."
Омская область,Сибирский,Министерство региональной безопасности Омской области,ministry,"644099, г. Омск, ул. Петра Некрасова, д. 3","+7 (3812) 79-07-68, +7 (3812) 79-07-73",post@mrb.omskportal.ru,https://mrb.omskportal.ru,http://www.omskcpp.ru/poleznye-ssylki/organy-ispolnitelnoj-vlasti-omskoj-oblasti,Образовано в 2019 г. преобразованием ГУ региональной безопасности; курирует ГО и ЧС.
Томская область,Сибирский,Департамент защиты населения и территории Томской области,department,"634034, г. Томск, ул. Вершинина, д. 48/1, каб. 205",+7 (3822) 900-580; факс (3822) 55-70-92,koi09@sibmail.com,https://dznto.tomsk.gov.ru,https://checko.ru/company/dznitto-1187031070467,Профильный региональный департамент. Email из агрегаторов (ЕГРЮЛ); ведомственный email на домене @tomsk.gov.ru не подтверждён.
Республика Бурятия,Дальневосточный,Республиканское агентство гражданской обороны и чрезвычайных ситуаций Республики Бурятия,other,"670000, Республика Бурятия, г. Улан-Удэ, ул. Кирова, д. 35",+7 (3012) 21-20-88,emeo3709@gochs.govrb.ru,https://egov-buryatia.ru/gochs/,https://egov-buryatia.ru/gochs/about_authority/general_information/,"Республиканский исполнительный орган (агентство). Подведомственное — ГКУ РБ «Центр по гражданской обороне, защите населения и территорий от ЧС»."
Республика Саха (Якутия),Дальневосточный,Министерство по делам гражданской обороны и обеспечению безопасности жизнедеятельности населения Республики Саха (Якутия),ministry,"677027, Республика Саха (Якутия), г. Якутск, ул. Кирова, д. 18б","+7 (4112) 39-82-60, +7 (4112) 39-82-56",mingoobzhn@sakha.gov.ru,https://mingoobzhn.sakha.gov.ru,https://base.garant.ru/407776566/,В 2023 г. Госкомитет переименован в министерство (Указ Главы РС(Я) № 8 от 02.10.2023). Подведомственное — ГБУ «Служба спасения РС(Я)».
Забайкальский край,Дальневосточный,Министерство лесного хозяйства и пожарной безопасности Забайкальского края,ministry,,,,,https://www.garant.ru/hotlaw/chita/1918814/,"С 22.09.2025 Департамент по ГО и ПБ ликвидирован, полномочия по ГО/ЧС/ПБ переданы новому Министерству лесного хозяйства и ПБ (пост. № 629 от 05.11.2025); контакты пока не подтверждены. Реквизиты предшественника: 672007, г. Чита, ул. Богомягкова, 23; dep@gopb.e-zab.ru; +7 (3022) 35-99-76."
Камчатский край,Дальневосточный,Министерство по чрезвычайным ситуациям Камчатского края,ministry,"683001, Камчатский край, г. Петропавловск-Камчатский, пл. им. В.И. Ленина, д. 1",,minsp@kamgov.ru,https://www.kamgov.ru,https://base.garant.ru/406708157/,"Исполнительный орган края в сферах ГО, защиты от ЧС и ПБ (ранее — Министерство специальных программ). Телефоны не подтверждены офиц. страницей."
Приморский край,Дальневосточный,"Министерство по делам ГО, защиты от ЧС и ликвидации последствий стихийных бедствий Приморского края",ministry,"690091, г. Владивосток, ул. Семеновская, д. 36",+7 (423) 221-01-33,gochspk@primorsky.ru,https://primorsky.ru,https://www.vl.ru/ministerstvo-po-delam-grazhdanskoj-oborony,"Ранее — Департамент гражданской защиты. Подведомственное — ГКУ Приморского края по пожарной безопасности, делам ГО, защите от ЧС (primgochs.ru, +7 (423) 221-01-05, gku@primgochs.ru)."
Хабаровский край,Дальневосточный,Комитет Правительства Хабаровского края по гражданской защите,committee,"680000, г. Хабаровск, ул. Волочаевская, д. 146","+7 (4212) 30-52-65, +7 (4212) 30-65-75",,https://grz.khabkrai.ru,https://base.garant.ru/25578285/,Орган края в сфере ГОЧС и ПБ (Пост. Правительства края № 117-пр от 15.04.2014). Email не подтверждён.
Амурская область,Дальневосточный,Министерство лесного хозяйства и пожарной безопасности Амурской области,ministry,"675000, Амурская обл., г. Благовещенск, ул. Красноармейская, д. 173","+7 (4162) 99-06-45, +7 (4162) 99-06-46",deples28@mail.ru,https://minlhpb.amurobl.ru,https://rosleshoz.gov.ru/departments/dfo/regions/,"Отдельного органа по ГОЧС нет; полномочия ГО реализует это министерство. Подведомственное — ГКУ «Амурский центр ГЗ и ПБ» (ул. Амурская, 160)."
Магаданская область,Дальневосточный,"Департамент по делам ГО, защиты от ЧС и пожарной безопасности Магаданской области",department,"685017, Магаданская обл., г. Магадан, пр-кт Карла Маркса, д. 1",+7 (4132) 62-46-13,,,https://companium.ru/id/1204900002120,"Орган госвласти области (создан 2020 г., ГКУ). Отдельного сайта не выявлено; email не подтверждён."
Сахалинская область,Дальневосточный,"Агентство по делам ГО, защиты от ЧС и пожарной безопасности Сахалинской области",other,"693020, Сахалинская обл., г. Южно-Сахалинск, Коммунистический проспект, д. 39",+7 (4242) 67-10-66; факс +7 (4242) 67-10-76,achs@sakhalin.gov,https://achs.admsakhalin.ru,https://sakhalin-gov.ru/doc/78505,"Орган исполнительной власти области (агентство; Указ Губернатора № 57 от 01.06.2020). Email вероятно ...@sakhalin.gov.ru. Подведомственное — ОКУ «Управление обеспечения мероприятий ГО, ЧС и ПБ»."
Еврейская автономная область,Дальневосточный,Департамент региональной безопасности правительства Еврейской автономной области,department,"679016, ЕАО, г. Биробиджан, пр-кт 60-летия СССР, д. 18","+7 (42622) 2-26-58, +7 (42622) 4-14-83",,https://www.eao.ru,https://companium.ru/id/1107901001801-departament-regionalnoy-bezopasnosti,"Отдельного комитета/министерства по ГОЧС нет. Подведомственное — ОГКУ «Центр ГО ЧС и ПБ» (ул. Волочаевская, 3, (42622) 4-49-78, zentrgo1@rambler.ru). Приёмная — ул. Шолом-Алейхема, 21, каб. 206."
Чукотский автономный округ,Дальневосточный,Департамент гражданской защиты и противопожарной службы Чукотского автономного округа,department,"689000, Чукотский автономный округ, г. Анадырь, ул. Ленина, д. 59",+7 (42722) 2-85-64,info@dgzpps.chukotka-gov.ru,https://chaogov.ru/depzip/,https://chaogov.ru/depzip/,"Центральный исполнительный орган округа по ГО, защите от ЧС и ПБ; координирует Систему-112 и Ситуационный центр Губернатора."
